R_eff,q_conv,q_rad_published,q_total
2.729096989966555,3155137.998805571,11816267.6744112,14971405.673216771
2.7381270903010035,3149931.019555576,11828797.245414834,14978728.26497041
2.7471571906354515,3144749.7350142784,11841298.783329453,14986048.518343732
2.7561872909698995,3139593.9345497964,11853772.442713449,14993366.377263244
2.765217391304348,3134463.4099396607,11866218.376770027,15000681.786709689
2.774247491638796,3129357.9553354937,11878636.737363493,15007994.692698987
2.783277591973244,3124277.367228318,11891027.67503524,15015305.042263558
2.792307692307692,3119221.4444144885,11903391.339019554,15022612.783434043
2.8013377926421406,3114189.9879622185,11915727.877259113,15029917.86522133
2.8103678929765885,3109182.8011787124,11928037.436420325,15037220.237599038
2.819397993311037,3104199.6895778608,11940320.16190838,15044519.851486241
2.828428093645485,3099240.460848519,11952576.1978821,15051816.658730619
2.8374581939799333,3094304.92482333,11964805.687268544,15059110.612091873
2.846488294314381,3089392.893448098,11977008.771777464,15066401.665225562
2.8555183946488296,3084504.1807516953,11989185.591915442,15073689.772667136
2.8645484949832776,3079638.6028164835,12001336.286999905,15080974.889816388
2.8735785953177255,3074795.9777492583,12013460.995172907,15088256.972922165
2.882608695652174,3069976.1256526844,12025559.853414675,15095535.97906736
2.891638795986622,3065178.868597229,12037632.997557016,15102811.866154246
2.9006688963210703,3060404.0305935727,12049680.562296478,15110084.59289005
2.9096989966555182,3055651.4375654915,12061702.681207353,15117354.118772846
2.9187290969899666,3050920.917323202,12073699.48675446,15124620.404077662
2.9277591973244146,3046212.299537158,12085671.110305784,15131883.409842942
2.936789297658863,3041525.4157122923,12097617.682144888,15139143.097857181
2.945819397993311,3036860.0991626913,12109539.33148318,15146399.430645872
2.9548494983277593,3032216.1849866943,12121436.186471988,15153652.371458681
2.9638795986622073,3027593.510042418,12133308.37421447,15160901.884256888
2.9729096989966557,3022991.9129236755,12145156.020777352,15168147.933701027
2.9819397993311036,3018411.233936315,12156979.251202488,15175390.485138804
2.990969899665552,3013851.3150749356,12168778.18951829,15182629.504593225
3.0,3009312.0000000005,12180552.958750939,15189864.958750939
